Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-31,8/31/2022,,DAX,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,DAX->PARIS,COACH,,,Blank,,8/22/2022,8/22/2022,ORANGE SA,AA,Orange France,TELA1,REUNION_INTERNE,,387
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-13,9/13/2022,,DAX,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,DAX->PARIS,COACH,,,Blank,,8/11/2022,8/11/2022,ORANGE SA,AA,Orange France,CWKDN,REUNION_INTERNE,,387
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-27,9/27/2022,,DAX,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,DAX->PARIS,COACH,,,Blank,,8/11/2022,8/11/2022,ORANGE SA,AA,Orange France,CWKDN,REUNION_INTERNE,,387
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-19,9/19/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/2/2022,8/3/2022,ORANGE SA,AA,Orange France,DRE01,REUNION_INTERNE,,49
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-25,8/25/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/24/2022,8/24/2022,ORANGE SA,AA,Orange France,AMY56,FORMATION,,43
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-08,9/8/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/16/2022,8/16/2022,ORANGE SA,AA,Orange France,BT6SU,ACTIVITE_EQUIPE,,73
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-08,8/8/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/4/2022,8/4/2022,ORANGE SA,AA,Orange France,BSM3T,REUNION_INTERNE,,13
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-29,8/29/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/4/2022,8/4/2022,ORANGE SA,AA,Orange France,BSM3T,REUNION_INTERNE,,13
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-30,9/30/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,EAX4W,REUNION_IRP_MANDATS_SOC,,35
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-27,9/27/2022,,LYON,LYON,FRANCE,FRANCE,EUROPE,EUROPE,LYON->LYON,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,EAX4W,REUNION_IRP_MANDATS_SOC,,35
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-05,10/5/2022,,LYON,METZ,FRANCE,FRANCE,EUROPE,EUROPE,LYON->METZ,COACH,,,Blank,,8/24/2022,8/24/2022,ORANGE SA,AA,Orange France,04701,REUNION_INTERNE,,264
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-05,10/5/2022,,LYON,METZ,FRANCE,FRANCE,EUROPE,EUROPE,LYON->METZ,COACH,,,Blank,,8/24/2022,8/24/2022,ORANGE SA,AA,Orange France,04701,REUNION_INTERNE,,264
FRANCE,202208 - août,1,,Air,,,,AIR FRANCE,2022-10-17,10/17/2022,,LYON,NICE,FRANCE,FRANCE,EUROPE,EUROPE,LYON->NICE,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,GPA04,REUNION_IRP_MANDATS_SOC,,174
FRANCE,202208 - août,1,,Air,,,,AIR FRANCE,2022-10-17,10/17/2022,,LYON,NICE,FRANCE,FRANCE,EUROPE,EUROPE,LYON->NICE,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,04601,REUNION_IRP_MANDATS_SOC,,174
FRANCE,202208 - août,1,,Air,,,,AIR FRANCE,2022-10-07,10/7/2022,,LYON,NICE,FRANCE,FRANCE,EUROPE,EUROPE,LYON->NICE,COACH,,,Blank,,8/31/2022,8/31/2022,ORANGE SA,AA,Orange France,QF6AA,REUNION_IRP_MANDATS_SOC,,174
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-03,10/3/2022,,METZ,LYON,FRANCE,FRANCE,EUROPE,EUROPE,METZ->LYON,COACH,,,Blank,,8/24/2022,8/24/2022,ORANGE SA,AA,Orange France,04701,REUNION_INTERNE,,264
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-03,10/3/2022,,METZ,LYON,FRANCE,FRANCE,EUROPE,EUROPE,METZ->LYON,COACH,,,Blank,,8/24/2022,8/24/2022,ORANGE SA,AA,Orange France,04701,REUNION_INTERNE,,264
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-03,10/3/2022,,METZ,LYON,FRANCE,FRANCE,EUROPE,EUROPE,METZ->LYON,COACH,,,Blank,,8/23/2022,8/23/2022,ORANGE SA,AA,Orange France,04701,REUNION_INTERNE,,264
FRANCE,202208 - août,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-27,9/27/2022,,METZ,METZ,FRANCE,FRANCE,EUROPE,EUROPE,METZ->METZ,COACH,,,Blank,,8/3/2022,8/3/2022,ORANGE SA,AA,Orange France,VRHAV,REUNION_INTERNE,,23
FRANCE,202208 - août,1,,Air,,,,AIR FRANCE,2022-10-20,10/20/2022,,NICE,LYON,FRANCE,FRANCE,EUROPE,EUROPE,NICE->LYON,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,GPA04,REUNION_IRP_MANDATS_SOC,,174
FRANCE,202208 - août,1,,Air,,,,AIR FRANCE,2022-10-20,10/20/2022,,NICE,LYON,FRANCE,FRANCE,EUROPE,EUROPE,NICE->LYON,COACH,,,Blank,,8/30/2022,8/30/2022,ORANGE SA,AA,Orange France,04601,REUNION_IRP_MANDATS_SOC,,174
