Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-11-16,11/16/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/22/2022,9/22/2022,ORANGE SA,AA,Orange France,CGDRJ,FORMATION,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-14,9/14/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/7/2022,9/7/2022,ORANGE SA,AA,Orange France,5MGXC,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-04,10/4/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/23/2022,9/23/2022,ORANGE SA,AA,Orange France,5MGXC,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-10-08,10/8/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/23/2022,9/24/2022,ORANGE SA,AA,Orange France,5MGXC,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-10-19,10/19/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,8/18/2022,9/2/2022,ORANGE SA,AA,Orange France,ACSRS,ACTION_COMMERCIALE,,352
FRANCE,202209 - septembre,1,,Air,,LOW COST,,EASYJET AIRLINE,2022-09-26,9/26/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/12/2022,9/23/2022,ORANGE SA,AA,Orange France,DDS04,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-09,9/9/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/1/2022,9/2/2022,ORANGE SA,AA,Orange France,CQKN3,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-16,9/16/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/1/2022,9/2/2022,ORANGE SA,AA,Orange France,CQKN3,REUNION_INTERNE,,352
FRANCE,202209 - septembre,0,,Air,,,,AIR FRANCE,2022-09-23,9/23/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,EXCHANGE,,9/1/2022,9/17/2022,ORANGE SA,AA,Orange France,CQKN3,REUNION_INTERNE,,352
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-29,9/29/2022,,PARIS,TOULOUSE,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->TOULOUSE,COACH,,,Blank,,9/20/2022,9/23/2022,ORANGE SA,AA,Orange France,CQKN5,REUNION_INTERNE,,352
